date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2024-07-24,NIFTY,SELL,24373.9,24503.25,24244.55,129.35,24407.4,TIME,4.1027,-137.44,95.6,-233.05,False
2024-07-25,HDFCBANK.NS,BUY,806.4,799.67,813.13,6.73,808.1,TIME,124.0079,210.81,95.64,115.17,True
2024-07-25,NIFTY,BUY,24302.75,24212.3,24393.2,90.45,24393.2,TARGET,4.1148,372.18,95.69,276.49,True
2024-07-25,RELIANCE.NS,BUY,1488.5,1477.32,1499.68,11.18,1499.68,TARGET,67.1817,751.09,95.8,655.29,True
2024-07-25,TCS.NS,BUY,4313.0,4275.1,4350.9,37.9,4319.3,TIME,23.1857,146.07,95.62,50.44,True
2024-07-26,NIFTY,BUY,24592.8,24415.15,24770.45,177.65,24770.45,TARGET,4.0662,722.37,95.79,626.58,True
2024-07-26,TCS.NS,BUY,4392.45,4340.8,4444.1,51.65,4388.1,TIME,22.7663,-99.03,95.55,-194.58,False
2024-07-29,HDFCBANK.NS,BUY,810.67,804.38,816.97,6.3,804.38,STOP,123.3548,-775.9,95.35,-871.25,False
2024-07-29,INFY.NS,SELL,1880.7,1903.0,1858.4,22.3,1870.55,TIME,53.1717,539.69,95.47,444.22,True
2024-07-29,NIFTY,SELL,24878.35,24978.1,24778.6,99.75,24978.1,STOP,4.0196,-400.95,95.65,-496.61,False
2024-07-30,HDFCBANK.NS,BUY,803.22,800.0,806.45,3.22,806.45,TARGET,124.4989,402.13,95.7,306.44,True
2024-07-30,ICICIBANK.NS,BUY,1217.75,1207.9,1227.6,9.85,1227.6,TARGET,82.1187,808.87,95.81,713.05,True
2024-07-30,NIFTY,BUY,24886.7,24803.15,24970.25,83.55,24970.25,TARGET,4.0182,335.72,95.68,240.05,True
2024-08-01,HDFCBANK.NS,BUY,815.12,810.17,820.08,4.95,818.2,TIME,122.6813,377.86,95.69,282.17,True
2024-08-01,ICICIBANK.NS,SELL,1212.5,1221.95,1203.05,9.45,1210.5,TIME,82.4742,164.95,95.55,69.4,True
2024-08-02,HDFCBANK.NS,BUY,831.3,816.15,846.45,15.15,829.2,TIME,120.2935,-252.61,95.5,-348.12,False
2024-08-02,INFY.NS,SELL,1828.15,1859.35,1796.95,31.2,1822.6,TIME,54.7001,303.59,95.52,208.07,True
2024-08-02,TCS.NS,SELL,4324.3,4397.4,4251.2,73.1,4291.8,TIME,23.1251,751.57,95.43,656.14,True
2024-08-05,HDFCBANK.NS,SELL,814.47,822.85,806.1,8.38,806.1,TARGET,122.7792,1027.66,95.38,932.28,True
2024-08-05,ICICIBANK.NS,SELL,1175.1,1188.65,1161.55,13.55,1171.45,TIME,85.0991,310.62,95.52,215.1,True
2024-08-05,INFY.NS,SELL,1775.05,1797.45,1752.65,22.4,1752.65,TARGET,56.3364,1261.94,95.34,1166.6,True
2024-08-05,NIFTY,SELL,24193.25,24346.3,24040.2,153.05,24040.2,TARGET,4.1334,632.61,95.46,537.16,True
2024-08-05,RELIANCE.NS,SELL,1456.12,1478.07,1434.18,21.95,1434.18,TARGET,68.6757,1506.74,95.29,1411.46,True
2024-08-05,TCS.NS,SELL,4186.3,4225.05,4147.55,38.75,4147.55,TARGET,23.8874,925.64,95.4,830.24,True
2024-08-06,HDFCBANK.NS,SELL,809.83,815.72,803.93,5.9,803.93,TARGET,123.4827,728.55,95.44,633.11,True
2024-08-06,ICICIBANK.NS,SELL,1171.6,1187.45,1155.75,15.85,1165.45,TIME,85.3534,524.93,95.48,429.45,True
2024-08-07,INFY.NS,SELL,1781.0,1797.55,1764.45,16.55,1764.45,TARGET,56.1482,929.25,95.4,833.85,True
2024-08-08,INFY.NS,SELL,1752.4,1772.75,1732.05,20.35,1732.05,TARGET,57.0646,1161.26,95.36,1065.91,True
2024-08-08,RELIANCE.NS,SELL,1452.8,1462.12,1443.48,9.32,1448.2,TIME,68.8326,316.63,95.52,221.12,True
2024-08-09,RELIANCE.NS,BUY,1472.18,1456.05,1488.3,16.12,1474.85,TIME,67.9265,181.36,95.63,85.73,True
2024-08-12,HDFCBANK.NS,BUY,828.88,823.75,834.0,5.12,834.0,TARGET,120.6447,617.7,95.76,521.94,True
2024-08-13,HDFCBANK.NS,SELL,808.05,813.75,802.35,5.7,802.35,TARGET,123.7547,705.4,95.44,609.96,True
2024-08-13,ICICIBANK.NS,SELL,1175.85,1188.95,1162.75,13.1,1167.25,TIME,85.0449,731.39,95.44,635.95,True
